year,Type,Co2 Emission
2009,Gas,22919.956
2009,Oil,39140.248
2009,Other Industries,5708.371
2010,Coal,47196.505
2010,Gas,24690.402000000002
2010,Oil,39992.409
2010,Other Industries,6024.494000000001
2011,Coal,49829.456
2011,Gas,25183.069
2011,Oil,39867.493
2011,Other Industries,6313.7300000000005
2012,Coal,50408.172
2012,Gas,25524.424
2012,Oil,40688.001
2012,Other Industries,6437.008
2013,Coal,50241.643
2013,Gas,25574.586
2013,Oil,40900.1
2013,Other Industries,6622.083
2014,Coal,50147.93
2014,Gas,25577.382999999998
2014,Oil,41213.538
2014,Other Industries,6835.894
2015,Coal,49217.577
2015,Gas,26193.854
2015,Oil,41795.801
2015,Other Industries,6650.646
2016,Coal,48325.019
2016,Gas,26911.855
2016,Oil,41906.729
2016,Other Industries,6794.17
2017,Coal,48393.214
2017,Gas,27598.832000000002
2017,Oil,42518.788
2017,Other Industries,6974.028
2018,Coal,49098.274
2018,Gas,28867.103
2018,Oil,42640.879
2018,Other Industries,7188.674000000001
2019,Coal,48054.259999999995
2019,Gas,29273.644
2019,Oil,42958.078
2019,Other Industries,7331.552000000001
